[2024-08-04|2024-08-04 01:55:46.473345|中国标准时间]	Users database: "../database/db/users.db" created
[2024-08-04|2024-08-04 01:55:47.295843|中国标准时间]	Admin: "zhl" added to database as initial admin
[2024-08-04|2024-08-04 01:55:47.296839|中国标准时间]	Table: "users" created in "../database/db/users.db"
[2024-08-04|2024-08-04 01:55:47.298843|中国标准时间]	Posts database: "../database/db/posts.db" created
[2024-08-04|2024-08-04 01:55:47.308953|中国标准时间]	Table: "posts" created in "../database/db/posts.db"
[2024-08-04|2024-08-04 01:55:47.310955|中国标准时间]	Comments database: "../database/db/comments.db" created
[2024-08-04|2024-08-04 01:55:47.319949|中国标准时间]	Table: "comments" created in "../database/db/comments.db"
[2024-08-04|2024-08-04 01:55:47.321964|中国标准时间]	App started
[2024-08-04|2024-08-04 01:59:37.125992|中国标准时间]	App started
[2024-08-04|2024-08-04 02:05:10.739505|中国标准时间]	App started
[2024-08-04|2024-08-04 02:06:17.658577|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: / | Scheme: http | Status: 200 OK | Content Length: 8332 | Referrer: None | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.693578|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/css/swap.css | Scheme: http | Status: 200 OK | Content Length: 1617 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.710584|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/css/fancybox.min.css | Scheme: http | Status: 200 OK | Content Length: 12795 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.711582|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/css/slick.min.css | Scheme: http | Status: 200 OK | Content Length: 1893 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.712584|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/css/aos.css | Scheme: http | Status: 200 OK | Content Length: 29692 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.715107|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/css/bootstrap.min.css | Scheme: http | Status: 200 OK | Content Length: 312566 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.715107|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/css/magnific-popup.min.css | Scheme: http | Status: 200 OK | Content Length: 5913 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.715107|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/css/style.css | Scheme: http | Status: 200 OK | Content Length: 120061 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.724146|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/css/media_query.css | Scheme: http | Status: 200 OK | Content Length: 43382 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.727128|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/css/flash.css | Scheme: http | Status: 200 OK | Content Length: 1088 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.743127|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/images/oig3.jpg | Scheme: http | Status: 200 OK | Content Length: 37863 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.744123|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/javascript/jquery.min.js | Scheme: http | Status: 200 OK | Content Length: 136877 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.765126|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/javascript/fancybox.min.js | Scheme: http | Status: 200 OK | Content Length: 93194 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.782126|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/javascript/slick.min.js | Scheme: http | Status: 200 OK | Content Length: 54210 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.783125|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/javascript/gsap.js | Scheme: http | Status: 200 OK | Content Length: 72152 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.784123|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/javascript/magnific-popup.min.js | Scheme: http | Status: 200 OK | Content Length: 20219 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.785127|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/javascript/bootstrap.min.js | Scheme: http | Status: 200 OK | Content Length: 119214 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.786125|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/javascript/aos.js | Scheme: http | Status: 200 OK | Content Length: 22490 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.786125|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/javascript/script.js | Scheme: http | Status: 200 OK | Content Length: 17183 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.819257|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/images/single-services-main-img.jpg | Scheme: http | Status: 200 OK | Content Length: 76179 | Referrer: http://127.0.0.1:5000/static/assets/css/style.css | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:17.820256|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/images/upload.png | Scheme: http | Status: 200 OK | Content Length: 300 | Referrer: http://127.0.0.1:5000/static/assets/css/style.css | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:24.774178|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /contact | Scheme: http | Status: 200 OK | Content Length: 14133 | Referrer: http://127.0.0.1:5000/ | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:24.845447|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/images/girl1.jpg | Scheme: http | Status: 200 OK | Content Length: 405207 | Referrer: http://127.0.0.1:5000/contact | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:24.858444|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/images/girl2.jpg | Scheme: http | Status: 200 OK | Content Length: 494770 | Referrer: http://127.0.0.1:5000/contact | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:24.896453|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/javascript/recaptcha.js | Scheme: http | Status: 200 OK | Content Length: 6862 | Referrer: http://127.0.0.1:5000/contact | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
[2024-08-04|2024-08-04 02:06:24.897446|中国标准时间]	Adress: 127.0.0.1 | Method: GET | Path: /static/assets/images/home-bg.jpg | Scheme: http | Status: 200 OK | Content Length: 59383 | Referrer: http://127.0.0.1:5000/static/assets/css/style.css | User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
